name,slug,description,assets,facets,optionGroups,optionValues,sku,price,taxCategory,stockOnHand,trackInventory,variantAssets,variantFacets
روشن آبی,roshan-blue,کتانی سبک با پنجه جادار و کفی قابل تنفس برای بازی‌های طولانی.,danya-catalog-grid.png,category:پسرانه|color:آبی,سایز:shoe-size,26,DAN-RB-26,18900000,standard,20,true,,
,,,,,,27,DAN-RB-27,18900000,standard,20,true,,
,,,,,,28,DAN-RB-28,18900000,standard,20,true,,
,,,,,,29,DAN-RB-29,18900000,standard,20,true,,
,,,,,,30,DAN-RB-30,18900000,standard,20,true,,
,,,,,,31,DAN-RB-31,18900000,standard,20,true,,
نارنج غروب,naranj-sunset,رویه نرم و زیره منعطف برای حرکت آزاد در تمام طول روز.,danya-catalog-grid.png,category:دخترانه|color:مرجانی,سایز:shoe-size,25,DAN-NS-25,21400000,standard,20,true,,
,,,,,,26,DAN-NS-26,21400000,standard,20,true,,
,,,,,,27,DAN-NS-27,21400000,standard,20,true,,
,,,,,,28,DAN-NS-28,21400000,standard,20,true,,
,,,,,,29,DAN-NS-29,21400000,standard,20,true,,
سبز پارک,sabz-park,کفش بازی مقاوم با زیره ضدلغزش و رویه قابل تنفس.,danya-catalog-grid.png,category:پسرانه|color:سبز,سایز:shoe-size,28,DAN-SP-28,23500000,standard,20,true,,
,,,,,,29,DAN-SP-29,23500000,standard,20,true,,
,,,,,,30,DAN-SP-30,23500000,standard,20,true,,
,,,,,,31,DAN-SP-31,23500000,standard,20,true,,
,,,,,,32,DAN-SP-32,23500000,standard,20,true,,
,,,,,,33,DAN-SP-33,23500000,standard,20,true,,
یاس صورتی,yas-pink,کتانی روزمره سبک با پشتی نرم و فرم مناسب پای کودک.,danya-catalog-grid.png,category:دخترانه|color:صورتی,سایز:shoe-size,26,DAN-YP-26,19800000,standard,20,true,,
,,,,,,27,DAN-YP-27,19800000,standard,20,true,,
,,,,,,28,DAN-YP-28,19800000,standard,20,true,,
,,,,,,29,DAN-YP-29,19800000,standard,20,true,,
,,,,,,30,DAN-YP-30,19800000,standard,20,true,,
ابر کرم,abr-cream,کفش بسیار نرم و سبک برای نخستین قدم‌های مطمئن کودک.,danya-catalog-grid.png,category:نوزادی|color:کرم,سایز:shoe-size,20,DAN-AC-20,14600000,standard,20,true,,
,,,,,,21,DAN-AC-21,14600000,standard,20,true,,
,,,,,,22,DAN-AC-22,14600000,standard,20,true,,
,,,,,,23,DAN-AC-23,14600000,standard,20,true,,
,,,,,,24,DAN-AC-24,14600000,standard,20,true,,
دریا سرمه‌ای,darya-navy,کتانی بادوام برای مدرسه و استفاده روزانه با بسته‌شدن آسان.,danya-catalog-grid.png,category:پسرانه|color:سرمه‌ای,سایز:shoe-size,29,DAN-DN-29,22500000,standard,20,true,,
,,,,,,30,DAN-DN-30,22500000,standard,20,true,,
,,,,,,31,DAN-DN-31,22500000,standard,20,true,,
,,,,,,32,DAN-DN-32,22500000,standard,20,true,,
,,,,,,33,DAN-DN-33,22500000,standard,20,true,,
,,,,,,34,DAN-DN-34,22500000,standard,20,true,,
شفق یاسی,shafagh-lilac,کتانی سبک و خوش‌رنگ برای پیاده‌روی و بازی روزانه.,danya-catalog-grid.png,category:دخترانه|color:یاسی,سایز:shoe-size,27,DAN-SL-27,20700000,standard,20,true,,
,,,,,,28,DAN-SL-28,20700000,standard,20,true,,
,,,,,,29,DAN-SL-29,20700000,standard,20,true,,
,,,,,,30,DAN-SL-30,20700000,standard,20,true,,
,,,,,,31,DAN-SL-31,20700000,standard,20,true,,
,,,,,,32,DAN-SL-32,20700000,standard,20,true,,
آفتاب زرد,aftab-yellow,کفش خنک تابستانی با زیره نرم برای پاهای کوچک و پرجنب‌وجوش.,danya-catalog-grid.png,category:نوزادی|color:زرد,سایز:shoe-size,21,DAN-AY-21,16900000,standard,20,true,,
,,,,,,22,DAN-AY-22,16900000,standard,20,true,,
,,,,,,23,DAN-AY-23,16900000,standard,20,true,,
,,,,,,24,DAN-AY-24,16900000,standard,20,true,,
,,,,,,25,DAN-AY-25,16900000,standard,20,true,,
